      -- Select Department --
ASG      A&S - General
BFI      Kate Tiedemann Schl Bus & Fin
LKG      Lakeland - General
LLE      Lang, Lit, EdD, Ex Ed & Phy Ed
LAS      Latin Am Studies/Caribbean Ctr
LPL      Ldr, Policy & Lifelong Learn
LCA      Ldrs, Coun, Adlt, Car & H Educ
LEA      Leadership Development
LDR      Leadership Studies
ALA      Liberal Studies
LBG      Library - General
EDL      Library and Information Sci.
LIN      Linguistics
ACG      Lynn Pippenger Schl of Account
MED      MD Program
MAI      Maine Exchange
MAN      Management and Organization
MSC      Marine Science
MSD      Marine Science Deans Office
MKT      Marketing
COM      Mass Communication
EDO      Mathematics Education
MTH      Mathematics and Statistics
EDQ      Measurement-Research
EGR      Mechanical Engineering
DME      Medical Education
EME      Medical Engineering
MMI      Medical Microbiol & Immunology
MSG      Medical Sciences
MET      Medical Technology (MET)
MDT      Medical Technology (MDT)
MDG      Medicine - General
MDD      Medicine Deans Office
MHL      Mental Health Law & Policy
MIC      Microbiology
MLL      Modern Language & Linguistics
MFC      Moffitt Center - General
EDM      Music Education
MGE      Natl Resource Ctr Mid Grad Edu
NVY      Naval (ROTC)
SPL      Nelson Poynter Library
NEU      Neurology
NSG      Neurosurgery
NWC      New College
NUR      Nursing
NRD      Nursing Deans Office
OBG      Obstetrics/Gynecology
UCT      Off-Campus/Overseas Studies
OCT      Off-campus Term
RO      Office of the Registrar-ND (RO)
NRO      Office of the Registrar-ND (NRO)
ONC      Oncologic Sciences
OPH      Ophthalmology
ORTH      Ortho
OSM      Orthopaedics & Sports Medicine
OTO      Otolaryngology-Head Neck Srgry
PCB      Path and Cell Bio
PTH      Pathology & Lab. Medicine
PED      Pediatrics
PCR      Pharm & Clinical Research
PS      Pharmaceutical Sciences
PMT      Pharmacology & Therapeutics
PHA      Pharmacy (PHA)
PHM      Pharmacy (PHM)
RXD      Pharmacy Deans Office
PHI      Philosophy
PEB      Physical Education (Elective)
EDJ      Physical Education Elective
EDP      Physical Education for Teacher
PAS      Physician Assistant
PHY      Physics
PHB      Physiology & Biophysics
POL      Political Science
NRG      Pre-Nursing
PRG      President&#39;s Office - General
PDP      Professional Development Prgm
PVN      Provost Acad. Affairs- General
PBM      Psychiatry & Behav. Medicine
PSY      Psychology
PAD      Public Administration
PAF      Public Affairs
PBG      Public Broadcasting - General
PUH      Public Health (PUH)
PHC      Public Health (PHC)
PHG      Public Health - General
PHD      Public Health Deans Office
RAD      Radio
RGY      Radiology
RLS      Reading & Learning Strategies
REG      Registrar&#39;s Office
REH      Rehab & Mental Hlth Counseling
REL      Religious Studies
RSH      Research and Graduate Affairs
RHL      Residence Hall
ROM      Romance
SCT      SCATT
SLCT      SELECT Program
SRA      Sarasota - Arts & Sciences
SRB      Sarasota - Business
SRE      Sarasota - Education
SRG      Sarasota - General
SAR      Sarasota - Global Engagement
SRL      Sarasota - Library
SRN      Sarasota - Nursing
HTM      Schl Hospitality & Toursm Mgmt
RMI      Schl Risk Mgmt Insur & Securty
GEY      Schl of Aging Studies
ARTD      Schl of Architect & Comm Desgn
ARH      Schl of Art & Art History
SGS      Schl of Geosciences
ISM      Schl of Info Systems & Mgmt
LIS      Schl of Information
IGS      Schl of Interdis Global Stdies
MKI      Schl of Marketing & Innovation
MUS      Schl of Music
PHT      Schl of PT and Reb Sci
SPF      Schl of Public Affairs
SOK      Schl of Social Work
TRD      Schl of Theatre & Dance
EPS      School Psychology
EDN      Science Education
EDI      Secondary Education, General
SBD      Small Business Development Ctr
SCR      Soccer
ESF      Social Foundations
SSI      Social Sci. Interdisciplinary
EDW      Social Science Education
SCL      Society, Culture and Language
SOC      Sociology
SIS      Sociology & Inter Social Sci
SFB      Softball
SRH      Sponsored Research
SPA      St. Petersburg - Arts & Sci.
SPB      St. Petersburg - Business
SPD      St. Petersburg - Education
SPG      St. Petersburg - General
SPN      St. Petersburg - Nursing
STV      Stavros Ctr Free Enterprise
SAG      Student Affairs - General
STL      Student Leadership
SGC      Suncoast Gerontology Ctr.
SUR      Surgery
TAL      Teaching & Learning
TEL      Television
TEN      Tennis
TSF      ThUSFar
FAD      The Arts Deans Office
TAR      Theater & Dance
EDD      Theater Education
TRK      Track
UEA      USF World Education Abroad
0000      Undeclared Department
UGE      Undergrad Ed/Comm Coll Relatns
USD      Undergrad Studies Deans Office
UAG      Univ. Adv. - General
URL      University Relations
XXX      Unknown Department
URO      Urology
VVA      Verbal & Visual Arts
VSA      Very Special Arts
VBL      Volleyball
WST      Women&#39;s & Gender Studies
WCB      Women&#39;s Club
WLE      World Languages
MCM      Zimmer Schl Advert & Mass Comm
ZOO      Zoology
